pair,schedule,accepted,reject_reason,quality_flag,pair_zncc_in,pair_zncc_out,pair_zncc_delta,improved_count,worse_count,net_improved,delta_median,delta_p05,repaired_clusters,baseline_weak_clusters,wall_s,error
706-705,fine128,True,,False,0.1540715290668569,0.3863522029658891,0.23228067389903223,2340,20,2320,0.3809377823973485,0.023916059021261583,142,142,305.7547417270034,
850-849,dense256,True,,False,0.15407553153384615,0.20027895879795454,0.04620342726410839,1793,336,1457,0.04778867610259391,-0.02317490694541884,46,47,52.58876009099913,
850-849,fine128,True,,False,0.15407553153384615,0.20721934190777067,0.053143810373924516,1928,200,1728,0.06608313477079297,-0.010091866667086873,46,47,238.80969695200474,
893-892,dense256,True,,False,0.15795188669041887,0.16561912715910432,0.007667240468685443,1787,629,1158,0.013250590045174981,-0.024054300443549368,138,165,202.2507281060025,
893-892,fine128,True,,False,0.15795188669041887,0.17143116356239596,0.013479276871977086,2166,250,1916,0.027943873095722105,-0.007208660023043489,160,165,505.22498575699865,
513-514,dense256,True,,False,0.16065892718527242,0.39687998782960876,0.23622106064433634,2082,9,2073,0.390156166522111,0.09299563844199897,129,136,29.622307179997733,
513-514,fine128,True,,False,0.16065892718527242,0.39978481024959645,0.23912588306432403,2088,3,2085,0.4070886536459172,0.1102440383393957,129,136,295.89965399200446,
908-907,dense256,True,,False,0.162297601707651,0.24920326945796567,0.08690566775031466,2033,419,1614,0.0777361929342795,-0.022414618287456917,38,38,88.64495902299677,
908-907,fine128,True,,False,0.162297601707651,0.26002606621192575,0.09772846450427475,2282,171,2111,0.09893264527239631,-0.002555736748397791,38,38,499.56934361500316,
302-306,dense256,True,,False,0.16395781960762876,0.2830623512281145,0.11910453162048576,2199,303,1896,0.13084375633398604,-0.04832652167663752,215,219,68.12950097599969,
302-306,fine128,True,,False,0.16395781960762876,0.2655211672983088,0.10156334769068007,2055,449,1606,0.1062203122968671,-0.11496487988007893,213,219,107.7803110140012,
1034-1032,dense256,True,,False,0.1641849411804208,0.17339719045383428,0.009212249273413492,1150,897,253,0.0034528119749974717,-0.13343143494044848,27,49,54.464367357999436,
1034-1032,fine128,True,,False,0.1641849411804208,0.1908438497315344,0.026658908551113608,1433,651,782,0.01588593234181737,-0.07855536891187428,31,49,271.3077168079981,
259-260,dense256,True,,False,0.16428416746030608,0.4178960262500893,0.2536118587897832,1656,40,1616,0.2879813382651937,0.02267690757130998,105,106,31.063178434000292,
259-260,fine128,True,,False,0.16428416746030608,0.42202272379009087,0.2577385563297848,1665,30,1635,0.2971704541086677,0.028457179888657275,104,106,137.4924135869951,
943-941,dense256,True,,False,0.16450268375661942,0.1651893178523126,0.0006866340956931949,1381,1154,227,0.0010440106146069605,-0.025525040449647648,111,187,44.979027285000484,
943-941,fine128,True,,False,0.16450268375661942,0.16151543385418626,-0.0029872499024331534,1011,1530,-519,-0.0034502575791963905,-0.06074645320898001,74,187,83.37249635199987,
279-280,dense256,False,error,False,0.1655102776705709,,,0,0,0,,,0,277,,ValueError: Colinear points detected
279-280,fine128,False,quality_flag,True,0.1655102776705709,0.2754470032245651,0.10993672555399422,1901,617,1284,0.0747687831183845,-0.09173267640002561,258,277,80.31246238599851,
219-220,dense256,False,quality_flag,True,0.16677485122303135,0.16676968257697133,-5.168646060010884e-06,341,314,27,-9.158867958491967e-07,-0.00013292788610316935,29,385,8.650338690000353,
219-220,fine128,False,quality_flag,True,0.16677485122303135,0.15470553720090602,-0.012069314022125327,1642,1699,-57,-0.002419407373291896,-0.2577818895062236,319,385,62.98058749500342,
